,Museo Nacional del Prado: (Dinamarca),plaza mayor: (Dinamarca),Parque de El Retiro: (Dinamarca),puerta del sol: (Dinamarca),gran via: (Dinamarca),Museo Nacional Thyssen-Bornemisza: (Dinamarca),cibeles: (Dinamarca),El Rastro: (Dinamarca),Plaza de Toros de Las Ventas: (Dinamarca),Chueca: (Dinamarca),callao: (Dinamarca),date
0,50,45,0,0,62,47,45,54,53,0,65,2015-08-01
1,51,65,0,52,50,0,45,0,50,48,63,2015-09-01
2,34,46,0,55,47,46,41,52,51,45,66,2015-10-01
3,24,41,26,50,28,43,0,0,48,0,58,2015-11-01
4,31,0,0,51,34,56,53,0,62,0,70,2015-12-01
5,79,88,28,53,60,47,0,0,0,0,63,2016-01-01
6,79,44,0,54,46,48,45,100,57,52,75,2016-02-01
7,60,50,28,61,31,48,0,50,54,0,36,2016-03-01
8,54,91,29,53,60,47,45,0,55,0,65,2016-04-01
9,29,93,0,60,34,53,48,0,0,54,33,2016-05-01
10,28,45,31,58,100,50,49,54,0,0,33,2016-06-01
11,66,59,38,65,41,57,0,0,67,0,38,2016-07-01
12,30,100,61,61,35,0,51,57,0,55,37,2016-08-01
13,29,48,31,60,66,53,100,0,57,53,35,2016-09-01
14,61,71,31,58,66,100,0,54,58,53,86,2016-10-01
15,55,46,58,56,95,50,0,0,0,100,66,2016-11-01
16,53,51,0,61,35,54,0,0,0,0,48,2016-12-01
17,51,43,29,52,45,47,0,0,54,48,53,2017-01-01
18,56,44,0,57,40,46,0,46,0,45,59,2017-02-01
19,38,41,27,51,45,46,0,46,52,48,46,2017-03-01
20,51,47,28,52,60,46,45,0,0,0,93,2017-04-01
21,39,51,0,0,35,49,52,49,61,0,36,2017-05-01
22,27,98,29,59,34,48,46,51,0,54,48,2017-06-01
23,63,79,0,0,73,49,0,0,64,0,38,2017-07-01
24,51,46,0,55,31,47,45,0,0,0,66,2017-08-01
25,50,42,27,52,30,0,44,0,52,0,60,2017-09-01
26,26,46,26,51,60,50,44,49,51,51,44,2017-10-01
27,25,41,25,50,0,0,0,0,0,43,74,2017-11-01
28,29,49,0,54,56,0,0,55,0,0,65,2017-12-01
29,49,41,0,49,56,0,42,45,0,44,67,2018-01-01
30,52,44,28,49,57,44,45,0,100,47,79,2018-02-01
31,24,46,26,56,64,98,0,45,48,0,43,2018-03-01
32,50,62,27,100,42,0,0,0,50,0,30,2018-04-01
33,37,43,56,51,60,0,0,0,52,48,31,2018-05-01
34,38,44,27,0,27,47,45,0,53,48,30,2018-06-01
35,55,50,100,56,46,49,47,54,56,0,34,2018-07-01
36,74,62,54,50,58,44,0,47,51,45,60,2018-08-01
37,37,61,0,50,29,44,43,0,0,0,89,2018-09-01
38,100,46,0,0,61,50,45,0,50,0,67,2018-10-01
39,36,42,0,51,29,0,0,0,50,44,45,2018-11-01
40,29,44,0,55,31,0,0,0,51,0,49,2018-12-01
41,48,41,26,49,29,44,43,0,50,46,88,2019-01-01
42,27,41,27,50,58,47,43,0,54,0,64,2019-02-01
43,51,41,0,51,42,43,64,47,49,0,61,2019-03-01
44,29,48,26,51,44,0,41,0,58,43,45,2019-04-01
45,49,82,54,50,58,0,0,0,49,46,61,2019-05-01
46,37,45,0,50,62,0,43,0,50,46,32,2019-06-01
47,68,97,0,0,34,53,0,0,0,51,100,2019-07-01
48,52,41,26,49,43,44,0,0,0,0,32,2019-08-01
49,59,40,25,49,55,87,0,0,48,43,58,2019-09-01
50,36,42,0,51,29,46,40,89,51,45,60,2019-10-01
51,94,37,25,48,54,42,0,0,0,41,56,2019-11-01
52,25,46,25,47,29,0,0,47,0,43,59,2019-12-01
53,53,76,0,0,26,0,79,42,0,0,95,2020-01-01
54,59,39,0,46,40,0,41,42,46,0,64,2020-02-01
55,63,71,0,64,25,36,37,0,0,0,26,2020-03-01
56,23,0,0,44,25,0,39,0,0,0,35,2020-04-01
57,44,36,23,45,49,0,38,0,0,0,53,2020-05-01
58,66,35,22,42,27,40,0,39,0,0,28,2020-06-01
59,41,42,0,0,29,0,43,0,0,0,29,2020-07-01
