,Unnamed: 0,Museo Nacional del Prado: (Dinamarca),plaza mayor: (Dinamarca),el retiro: (Finlandia),Puerta del Sol: (Finlandia),gran via: (Finlandia),Museo Nacional Thyssen-Bornemisza: (Finlandia),cibeles: (Finlandia),Puerta de Alcalá: (Finlandia),callao: (Finlandia),date
0,4,50,45,100,38,46,0,0,0,0,2015-08-01
1,8,51,65,65,39,42,0,51,0,39,2015-09-01
2,12,34,46,67,38,84,54,52,99,76,2015-10-01
3,17,24,41,0,0,84,0,0,97,37,2015-11-01
4,21,31,0,0,39,0,61,0,0,0,2015-12-01
5,26,79,88,0,0,46,57,55,0,41,2016-01-01
6,30,79,44,0,40,91,57,0,0,81,2016-02-01
7,34,60,50,0,79,90,57,54,0,39,2016-03-01
8,38,54,91,0,89,52,0,0,0,41,2016-04-01
9,43,29,93,0,50,56,0,63,0,0,2016-05-01
10,47,28,45,0,45,48,59,56,0,0,2016-06-01
11,52,66,59,0,0,53,0,0,0,46,2016-07-01
12,56,30,100,0,0,100,0,0,0,44,2016-08-01
13,60,29,48,0,42,94,59,0,0,42,2016-09-01
14,65,61,71,73,41,48,59,0,0,83,2016-10-01
15,69,55,46,69,0,46,0,55,0,40,2016-11-01
16,73,53,51,70,43,49,61,0,0,78,2016-12-01
17,78,51,43,67,38,45,0,55,100,76,2017-01-01
18,82,56,44,67,39,43,0,0,0,39,2017-02-01
19,86,38,41,0,37,42,0,100,0,38,2017-03-01
20,91,51,47,65,39,43,0,52,100,75,2017-04-01
21,95,39,51,0,39,41,0,0,0,40,2017-05-01
22,99,27,98,70,40,45,0,56,0,40,2017-06-01
23,104,63,79,0,41,46,58,51,0,40,2017-07-01
24,108,51,46,0,37,42,0,0,0,37,2017-08-01
25,112,50,42,0,0,81,0,0,0,36,2017-09-01
26,117,26,46,64,38,61,50,50,92,59,2017-10-01
27,121,25,41,63,0,41,51,49,94,36,2017-11-01
28,126,29,49,0,38,43,55,51,0,61,2017-12-01
29,130,49,41,0,36,40,100,50,0,36,2018-01-01
30,134,52,44,0,37,41,0,0,0,35,2018-02-01
31,138,24,46,0,35,81,0,0,0,36,2018-03-01
32,143,50,62,62,35,80,51,0,0,36,2018-04-01
33,147,37,43,0,0,0,53,52,97,38,2018-05-01
34,151,38,44,0,37,41,0,0,0,36,2018-06-01
35,156,55,50,62,0,43,0,51,0,75,2018-07-01
36,160,74,62,0,0,0,0,0,0,35,2018-08-01
37,165,37,61,0,34,59,0,0,0,35,2018-09-01
38,169,100,46,0,35,80,50,48,0,37,2018-10-01
39,173,36,42,0,35,75,0,48,0,100,2018-11-01
40,178,29,44,0,35,46,0,0,0,53,2018-12-01
41,182,48,41,60,34,57,0,0,0,35,2019-01-01
42,186,27,41,60,0,78,48,45,89,34,2019-02-01
43,191,51,41,0,35,79,0,0,0,35,2019-03-01
44,195,29,48,0,35,0,0,0,0,35,2019-04-01
45,199,49,82,0,100,38,47,47,0,34,2019-05-01
46,204,37,45,0,0,38,0,0,0,37,2019-06-01
47,208,68,97,0,0,40,0,0,0,74,2019-07-01
48,212,52,41,56,32,0,0,45,0,33,2019-08-01
49,217,59,40,0,0,54,0,42,0,31,2019-09-01
50,221,36,42,56,0,37,45,0,0,32,2019-10-01
51,225,94,37,0,0,0,0,0,0,32,2019-11-01
52,230,25,46,0,33,37,51,45,0,32,2019-12-01
53,234,53,76,0,0,35,0,0,0,31,2020-01-01
54,238,59,39,53,0,70,0,42,0,30,2020-02-01
55,243,63,71,0,28,34,0,38,0,0,2020-03-01
56,247,23,0,0,28,61,39,0,0,0,2020-04-01
57,252,44,36,0,30,68,42,0,0,30,2020-05-01
58,256,66,35,0,31,0,0,0,0,29,2020-06-01
59,260,41,42,0,0,35,0,0,0,0,2020-07-01
