Museo Nacional del Prado: (Todo el mundo),plaza mayor: (Todo el mundo),Parque de El Retiro: (Todo el mundo),puerta del sol: (Todo el mundo),gran via: (Todo el mundo),Museo Nacional Thyssen-Bornemisza: (Todo el mundo),templo de debod: (Todo el mundo),Catedral de Santa María la Real de la Almudena: (Todo el mundo),cibeles: (Todo el mundo),Palacio de Cristal: (Todo el mundo),puerta de alcala: (Todo el mundo),el rastro: (Todo el mundo),las ventas: (Todo el mundo),chueca: (Todo el mundo),san gines: (Todo el mundo),callao: (Todo el mundo),calle serrano: (Todo el mundo),date
1,63,37,16,48,54,64,13,27,45,56,100,53,98,72,83,81,2015-08-01
1,61,41,16,54,57,59,15,27,71,78,84,62,100,29,65,88,2015-09-01
1,55,37,15,100,92,69,27,35,97,63,91,51,96,29,65,79,2015-10-01
1,70,37,17,66,77,57,68,24,55,64,90,50,95,35,67,87,2015-11-01
1,81,35,39,66,60,76,18,28,64,56,73,37,100,37,69,100,2015-12-01
1,55,41,16,60,58,56,30,29,53,62,69,39,77,31,68,97,2016-01-01
1,53,32,16,57,88,57,15,29,57,62,66,45,77,30,66,92,2016-02-01
1,71,50,17,51,67,87,15,23,69,59,75,48,80,36,60,80,2016-03-01
1,54,40,16,48,58,59,14,21,66,65,68,60,78,33,65,85,2016-04-01
1,78,50,16,53,67,67,15,94,69,65,70,94,82,37,60,90,2016-05-01
1,59,43,15,49,50,61,14,25,55,59,63,60,94,30,63,79,2016-06-01
1,69,54,14,52,50,61,15,29,54,60,68,44,82,36,68,84,2016-07-01
1,64,47,14,44,44,77,14,24,59,47,72,45,74,82,71,65,2016-08-01
1,66,41,16,55,44,73,15,26,58,54,68,65,79,42,65,82,2016-09-01
1,62,44,15,59,100,66,34,24,65,64,79,50,77,42,70,82,2016-10-01
1,66,42,20,57,68,52,83,23,55,80,71,49,77,41,63,83,2016-11-01
1,79,33,32,78,69,74,10,21,45,78,56,36,76,38,63,92,2016-12-01
1,66,27,22,66,59,64,9,24,37,63,62,41,73,42,68,87,2017-01-01
1,73,39,18,56,58,66,9,26,48,69,62,41,77,45,84,70,2017-02-01
1,61,37,15,54,43,62,10,25,56,61,70,57,71,45,65,84,2017-03-01
1,77,45,15,61,40,78,11,24,49,60,66,66,72,36,62,69,2017-04-01
1,63,54,16,53,46,73,11,100,50,57,58,98,70,36,60,91,2017-05-01
1,58,39,16,57,44,59,8,87,46,74,61,80,96,39,66,69,2017-06-01
1,65,37,14,56,46,61,8,27,45,61,66,49,78,46,67,83,2017-07-01
1,68,33,15,52,42,59,9,27,33,59,68,42,61,87,71,68,2017-08-01
1,100,41,17,57,48,76,11,25,48,53,62,58,63,41,66,83,2017-09-01
1,76,47,20,58,65,86,32,27,79,69,71,48,58,44,63,82,2017-10-01
1,62,35,18,62,54,71,94,21,54,65,64,43,58,40,61,76,2017-11-01
1,87,35,30,68,48,100,14,29,67,68,53,35,57,46,67,77,2017-12-01
1,50,30,17,60,53,70,10,22,53,60,53,34,52,41,66,89,2018-01-01
1,60,36,17,56,58,84,10,23,62,59,56,41,55,35,68,82,2018-02-01
1,65,100,16,60,47,97,15,24,80,64,63,45,62,51,67,83,2018-03-01
1,71,71,17,59,59,91,15,28,45,61,63,75,62,42,66,83,2018-04-01
1,64,56,15,58,56,63,18,71,52,71,57,94,57,38,61,78,2018-05-01
1,57,41,14,54,37,62,10,25,49,65,68,75,62,43,61,83,2018-06-01
1,65,44,16,54,48,67,10,29,55,66,64,36,71,41,68,75,2018-07-01
1,71,44,15,52,44,69,12,27,53,54,66,44,59,87,83,58,2018-08-01
1,72,43,15,56,49,63,26,28,74,100,63,59,59,44,71,80,2018-09-01
1,69,42,15,59,45,64,34,26,64,99,68,53,55,45,100,81,2018-10-01
1,65,31,17,66,43,53,100,26,65,65,64,39,58,52,67,78,2018-11-01
1,90,45,37,65,49,73,14,30,65,62,50,37,58,58,66,84,2018-12-01
1,54,41,17,60,41,48,13,24,70,60,54,35,57,42,69,68,2019-01-01
1,64,50,15,53,60,62,18,26,79,60,46,41,56,44,67,86,2019-02-01
1,56,54,15,53,62,67,15,34,77,61,55,49,53,48,69,80,2019-03-01
1,79,46,16,60,50,77,35,31,57,56,50,50,53,57,67,79,2019-04-01
1,71,49,20,60,50,62,11,31,52,68,50,100,57,46,72,74,2019-05-01
1,68,53,15,61,60,56,11,33,60,66,57,90,66,48,69,93,2019-06-01
1,72,52,16,73,55,60,9,36,44,61,48,39,54,49,77,69,2019-07-01
1,78,49,16,55,52,75,11,34,72,58,50,42,53,100,82,74,2019-08-01
1,69,51,17,63,63,72,14,30,58,59,50,59,64,51,69,86,2019-09-01
1,71,46,17,71,58,71,20,32,70,77,48,52,61,52,72,86,2019-10-01
4,77,40,18,60,57,54,68,29,75,63,51,45,53,50,67,83,2019-11-01
1,96,55,100,76,51,72,12,35,58,71,41,40,71,66,68,78,2019-12-01
1,56,37,20,58,49,61,10,31,49,57,41,34,62,47,79,98,2020-01-01
1,68,46,15,54,68,92,10,29,48,58,42,40,58,45,70,97,2020-02-01
1,56,41,14,44,47,62,10,24,54,49,40,39,50,37,67,61,2020-03-01
1,22,33,10,19,25,20,9,17,21,44,36,45,29,21,37,26,2020-04-01
1,43,34,10,31,44,24,7,16,27,42,42,52,38,20,52,58,2020-05-01
1,36,27,10,34,48,28,7,18,26,38,37,49,46,27,57,53,2020-06-01
1,37,29,9,33,29,46,16,55,100,33,42,40,45,27,60,55,2020-07-01
