Index,Cuevas del Drach: (Bélgica),bellver: (Bélgica),formentor: (Bélgica),soller: (Bélgica),galdana: (Bélgica),Albufera: (Bélgica),Benirras: (Bélgica),es vedra: (Bélgica),salines: (Bélgica),cala salada: (Bélgica),illetes: (Bélgica),Babaria: (Bélgica),magaluf: (Bélgica),date
0,0,0,46,97,51,84,0,39,34,75,47,0,100,2015-08-01
1,99,0,40,100,47,51,0,36,60,0,0,0,14,2015-09-01
2,0,0,38,37,0,36,82,37,29,0,0,0,9,2015-10-01
3,0,61,0,30,0,38,0,0,67,0,0,0,7,2015-11-01
4,0,0,0,42,0,45,100,0,33,0,0,0,11,2015-12-01
5,73,45,28,48,32,39,59,26,42,0,0,0,16,2016-01-01
6,0,45,29,68,31,39,58,0,42,47,33,0,10,2016-02-01
7,74,45,62,52,0,53,59,0,43,0,100,57,11,2016-03-01
8,0,46,0,63,34,27,60,0,43,48,34,0,13,2016-04-01
9,83,44,55,47,36,39,67,27,41,53,62,0,15,2016-05-01
10,0,87,55,43,33,55,60,27,44,48,100,0,23,2016-06-01
11,100,55,37,84,0,65,76,55,51,60,45,69,68,2016-07-01
12,0,60,36,51,39,98,75,46,57,58,0,0,34,2016-08-01
13,86,53,34,79,37,31,0,32,100,0,0,66,14,2016-09-01
14,0,100,33,61,37,30,0,30,48,0,0,63,8,2016-10-01
15,0,48,0,37,0,29,0,29,45,0,0,0,6,2016-11-01
16,77,0,33,48,0,46,66,0,25,0,0,65,6,2016-12-01
17,0,47,58,34,32,55,60,27,63,0,33,56,10,2017-01-01
18,0,44,0,35,32,51,0,0,54,46,33,0,7,2017-02-01
19,0,0,0,61,33,51,59,27,37,46,0,54,8,2017-03-01
20,79,45,31,67,32,37,64,58,36,51,0,55,10,2017-04-01
21,0,47,30,67,33,60,61,28,83,0,37,59,13,2017-05-01
22,0,46,30,55,34,54,0,28,51,48,0,0,20,2017-06-01
23,0,51,34,69,36,56,70,32,34,100,0,0,25,2017-07-01
24,0,46,60,72,34,40,63,29,46,48,0,56,15,2017-08-01
25,0,46,28,48,31,39,0,54,63,0,34,0,15,2017-09-01
26,0,0,28,46,0,100,0,26,42,45,0,0,7,2017-10-01
27,0,0,27,32,29,25,0,0,30,0,0,0,5,2017-11-01
28,0,43,30,36,31,52,0,28,21,0,0,55,5,2017-12-01
29,0,41,0,38,28,24,0,24,39,43,0,51,9,2018-01-01
30,0,86,0,26,30,25,57,25,40,43,0,54,6,2018-02-01
31,0,41,26,38,29,25,0,25,20,0,0,52,4,2018-03-01
32,0,44,40,58,62,54,58,27,22,46,0,0,9,2018-04-01
33,0,0,27,77,29,47,57,50,40,44,30,53,10,2018-05-01
34,63,40,26,47,0,34,53,0,30,40,0,100,10,2018-06-01
35,75,45,56,70,100,80,62,28,44,47,33,56,13,2018-07-01
36,72,44,56,66,31,76,57,53,48,45,0,54,15,2018-08-01
37,68,86,81,59,0,25,56,38,40,0,31,53,8,2018-09-01
38,0,42,28,40,0,38,0,26,61,43,0,0,6,2018-10-01
39,0,42,26,25,59,24,0,24,39,0,0,0,6,2018-11-01
40,0,42,28,15,58,24,0,28,35,45,0,0,5,2018-12-01
41,0,40,52,37,29,45,0,24,19,0,0,0,4,2019-01-01
42,65,0,38,37,29,47,0,24,38,0,29,50,6,2019-02-01
43,0,41,53,50,0,36,54,48,39,0,0,49,8,2019-03-01
44,0,44,27,45,55,33,55,25,33,41,0,0,9,2019-04-01
45,0,39,100,61,28,23,0,23,46,41,0,48,11,2019-05-01
46,64,42,27,58,30,45,56,33,38,41,31,0,10,2019-06-01
47,67,87,89,56,29,49,86,41,32,0,33,57,12,2019-07-01
48,71,0,28,83,0,49,56,100,34,64,31,0,11,2019-08-01
49,0,60,51,73,28,68,53,32,45,42,0,49,11,2019-09-01
50,61,39,0,81,0,33,50,45,28,0,0,0,3,2019-10-01
51,0,39,24,22,27,55,0,22,17,0,0,0,8,2019-11-01
52,0,38,50,30,28,33,0,24,38,42,0,49,9,2019-12-01
53,0,0,46,33,24,40,48,21,34,0,0,64,5,2020-01-01
54,0,0,45,22,25,41,46,21,17,0,0,45,7,2020-02-01
55,0,35,55,21,24,29,0,0,32,0,25,43,4,2020-03-01
56,0,65,31,28,0,37,45,20,30,0,25,43,3,2020-04-01
57,0,0,21,20,23,56,0,19,22,33,23,76,4,2020-05-01
58,54,67,63,20,46,30,40,20,30,0,23,41,6,2020-06-01
59,0,0,69,58,24,43,71,31,64,0,40,0,6,2020-07-01
