index,castell de bellver: (Reino Unido),cuevas del drach: (Reino Unido),formentor: (Reino Unido),palma aquarium: (Reino Unido),soller: (Reino Unido),cala galdana: (Reino Unido),cala mitjana: (Reino Unido),monte toro: (Reino Unido),cala macarella: (Reino Unido),cala macarelleta: (Reino Unido),albufera: (Reino Unido),cala pregonda: (Reino Unido),cala benirras: (Reino Unido),ses salines: (Reino Unido),es vedra: (Reino Unido),cala salada: (Reino Unido),ses illetes: (Reino Unido),es pujols: (Reino Unido),magaluf: (Reino Unido),date
0,57,100,69,35,79,70,50,47,70,34,75,52,41,21,19,58,28,96,64,2015-08-01
1,54,66,48,67,100,67,68,47,67,65,53,49,39,30,16,29,56,46,54,2015-09-01
2,0,32,26,67,36,32,32,0,0,32,66,49,0,20,19,28,0,0,26,2015-10-01
3,0,0,31,32,26,18,0,45,0,0,30,0,0,0,18,0,26,0,16,2015-11-01
4,0,39,19,40,35,32,0,45,0,39,37,0,0,24,17,0,26,55,21,2015-12-01
5,0,32,47,33,68,44,33,45,33,63,52,48,0,29,18,54,53,45,71,2016-01-01
6,0,33,34,34,51,34,33,0,34,32,62,72,38,20,23,28,81,94,42,2016-02-01
7,0,34,61,35,56,47,34,48,34,0,58,0,0,20,26,29,27,47,45,2016-03-01
8,0,66,57,50,79,47,32,46,0,65,79,0,39,20,9,56,27,46,62,2016-04-01
9,0,34,71,68,93,79,33,0,33,34,73,0,41,42,24,57,41,94,66,2016-05-01
10,56,33,85,67,95,69,66,46,34,100,82,0,81,72,28,100,55,47,84,2016-06-01
11,61,70,87,89,95,100,61,52,74,69,100,52,44,64,37,44,60,52,77,2016-07-01
12,0,37,74,61,86,92,56,53,77,37,73,56,46,47,33,65,59,100,54,2016-08-01
13,57,35,33,73,86,58,35,100,71,35,43,0,0,22,30,76,29,50,45,2016-09-01
14,0,0,36,70,65,34,0,48,35,34,46,0,0,41,20,58,0,48,29,2016-10-01
15,0,31,52,33,29,28,33,0,66,0,54,0,0,20,14,28,26,46,17,2016-11-01
16,60,0,29,56,28,29,0,0,37,0,30,51,0,20,11,31,27,51,17,2016-12-01
17,51,0,46,64,54,62,31,43,31,30,54,45,36,19,22,51,74,45,54,2017-01-01
18,0,29,29,32,40,42,31,44,62,30,41,0,0,19,17,52,51,44,37,2017-02-01
19,100,32,40,81,61,41,63,0,31,59,74,0,0,39,36,78,50,84,37,2017-03-01
20,0,49,67,66,83,63,32,93,62,32,68,47,37,40,19,40,27,92,60,2017-04-01
21,55,0,62,67,100,77,100,46,100,63,72,100,40,29,23,69,27,67,67,2017-05-01
22,0,53,76,51,82,81,54,47,50,64,81,96,79,40,22,37,41,46,100,2017-06-01
23,54,48,93,82,99,80,67,47,34,32,73,50,40,100,41,69,28,92,78,2017-07-01
24,54,48,86,100,90,75,66,46,33,48,63,49,0,20,37,55,27,60,54,2017-08-01
25,52,46,62,53,76,67,93,43,32,31,55,0,38,39,18,26,25,44,55,2017-09-01
26,0,30,32,63,49,27,31,43,31,0,50,45,0,19,26,26,25,43,26,2017-10-01
27,49,0,20,31,44,11,30,42,31,30,37,0,0,0,17,0,0,42,12,2017-11-01
28,51,0,28,34,41,41,34,44,31,30,34,45,42,18,17,26,28,0,27,2017-12-01
29,0,29,40,59,47,58,57,0,59,29,56,44,0,35,12,49,23,41,41,2018-01-01
30,50,59,41,61,62,31,30,0,60,0,48,41,0,55,21,25,23,42,28,2018-02-01
31,49,30,41,31,63,39,0,43,31,30,54,46,0,18,30,25,0,43,34,2018-03-01
32,49,60,43,92,85,48,61,41,31,30,69,45,35,28,31,39,25,85,64,2018-04-01
33,0,30,65,63,70,74,40,43,31,30,71,0,37,19,35,39,25,85,60,2018-05-01
34,0,60,66,61,91,71,57,43,30,31,57,44,37,64,29,26,25,60,71,2018-06-01
35,0,31,80,61,91,89,30,86,76,60,65,45,0,46,34,77,25,65,90,2018-07-01
36,52,31,64,63,83,59,31,43,61,0,53,47,37,28,21,51,26,44,48,2018-08-01
37,51,30,48,47,75,44,46,44,47,30,38,46,37,38,53,26,38,43,47,2018-09-01
38,51,31,36,63,47,26,61,0,31,0,38,0,0,0,14,26,100,43,27,2018-10-01
39,0,0,24,30,36,19,30,0,0,0,23,0,0,71,13,0,24,41,13,2018-11-01
40,52,35,49,36,27,38,31,44,36,32,39,0,0,22,18,0,0,0,22,2018-12-01
41,48,29,52,45,49,36,29,0,29,29,56,0,0,18,17,24,24,41,44,2019-01-01
42,0,0,43,31,43,29,59,42,29,29,49,44,0,27,26,0,24,42,25,2019-02-01
43,48,59,55,62,57,33,30,0,61,30,57,0,36,28,100,26,25,43,36,2019-03-01
44,49,31,47,82,87,55,29,45,60,62,61,0,35,19,26,37,25,42,49,2019-04-01
45,48,30,82,62,84,71,30,42,31,29,60,0,35,36,34,26,49,61,58,2019-05-01
46,49,58,74,57,98,65,56,42,40,44,53,66,100,52,27,83,24,62,71,2019-06-01
47,0,60,100,62,83,78,44,42,31,58,61,44,35,37,31,26,64,41,63,2019-07-01
48,48,30,73,75,89,66,45,41,30,29,48,44,35,18,30,49,50,41,43,2019-08-01
49,47,28,53,58,72,53,56,41,44,28,69,41,66,33,19,36,47,80,51,2019-09-01
50,45,27,32,55,50,27,27,0,27,27,48,0,32,17,15,23,44,76,25,2019-10-01
51,0,0,15,27,25,11,53,0,27,0,32,0,0,24,15,32,0,37,12,2019-11-01
52,51,30,36,31,36,41,31,0,31,26,45,46,0,0,15,24,23,43,23,2019-12-01
53,42,26,44,40,49,47,25,36,26,25,61,0,90,63,10,32,0,72,47,2020-01-01
54,0,0,33,40,41,28,25,35,25,0,58,36,0,15,29,21,21,36,28,2020-02-01
55,41,24,95,50,23,27,24,0,25,0,30,0,0,30,21,31,30,70,21,2020-03-01
56,0,0,28,24,19,15,23,0,24,0,29,0,0,14,24,39,19,64,12,2020-04-01
57,0,45,41,25,29,15,24,0,25,24,31,73,27,22,19,29,0,47,16,2020-05-01
58,0,0,67,24,32,20,23,32,24,0,27,33,0,28,16,37,0,64,22,2020-06-01
59,58,34,92,36,58,33,35,49,48,34,43,0,42,21,20,44,28,73,46,2020-07-01
